user screen name,att,RT?
Toledoooo_,['_pachecoJA'],retweet
ValerieSMartin,['urbanarson'],retweet
stumblinginn,['charliekirk11'],retweet
Thumpr1982,"['TheDemCoalition', 'DonaldJTrumpJr']",tweet
PastorBlandonMo,['charoguerra'],retweet
Marcell218,"['SenTedCruz', 'dail']",retweet
iromerovazquez,['RompevientoTV'],retweet
marianaqmierd,['ElyangelicaNews'],retweet
MCameratta,['charliekirk11'],retweet
DebrisYT,['tedcruz'],retweet
_foreverebb,['_pachecoJA'],retweet
dilcia_carta,['DolarToday'],retweet
BEVVAUGHAN12,['SenTedCruz'],retweet
nane0963,['RagingGayCons'],retweet
elceo__,[],tweet
TwoFewChainz,['SoMexicans'],retweet
keltcat,['charliekirk11'],retweet
Patriot01224735,['charliekirk11'],retweet
Soloveno210,['CB618444'],retweet
pete28231,"['TheDemCoalition', 'DonaldJTrumpJr']",tweet
tony_theplug,['SoMexicans'],retweet
rodrigofongon,['callodehacha'],retweet
wen_loe,['SenTedCruz'],retweet
EsqNicola,['TwitterMoments'],retweet
oyongbrady,['thehill'],retweet
GlennMkglenn1,['charliekirk11'],retweet
WillieEggimann,['charliekirk11'],retweet
Nachoamestoy_,[],tweet
KatTheHammer1,"['M4G4G1RL', 'tedcruz']",tweet
DPersisted,['adamcbest'],retweet
Jonny_P777,['charliekirk11'],retweet
dilcia_carta,['maibortpetit'],retweet
jaliisah2,"['PeterHi32200905', 'ted']",tweet
me_wanger,['charliekirk11'],retweet
ModernOvet,"['TariffMYtaxCUT', 'CNNPolitics']",tweet
gone2300,['tedcruz'],tweet
PhoebeBeach,['tedcruz'],tweet
Dave84098703,['tedcruz'],tweet
imadkhan82,['thehill'],retweet
JoeySchmidt94,['SenTedCruz'],retweet
MsMaritaE,['ElyangelicaNews'],retweet
beralf57,['CARLOSFMEJIA'],tweet
LLF347,"['tedcruz', 'POTUS']",tweet
jjj5819,"['TheDemCoalition', 'DonaldJTrumpJr', 'Funder']",retweet
FugitiveMonk,"['Va_Funculo', 'tedcruz']",tweet
LiselBruns,['adamcbest'],retweet
itzamarigarcia,['actoravan'],retweet
firedupyogini,['ahope71'],retweet
heartfleur,[],tweet
MissieB31,"['funder', 'TedCruz']",retweet
Alirio66683,['ElyangelicaNews'],retweet
FinizioVinny,[],tweet
Janderella,['realDailyWire'],retweet
AnonFalcon3,['charliekirk11'],retweet
IbrahimShaaz,['shotongoal247'],retweet
texasredright,['charliekirk11'],retweet
