user name,user screen name,location,total followers,total friends,total listed,total favorites,total status,is this tweet a quote?,tweet retweet count,favorite count,was this a retweet?,was this favorited,id,created_at,tweet language,text,verified?
,,,,,,,,,,,,,,,,,
b'El 5.7',b'Toledoooo_',b'',387,247,0,4667,2985,FALSE,873,0,FALSE,FALSE,1.10E+18,2/13/2019 2:15,en,b'RT @_pachecoJA: El Chapo on his way to prison for the 8482958279th time knowing he memorized every face in that court room\n https://t.co/cL\xe2\x80\xa6',FALSE
,,,,,,,,,,,,,,,,,
b'ValerieSargentMartin',b'ValerieSMartin',"b'Middle Georgia, USA'",1613,2036,83,9703,19223,FALSE,254,0,FALSE,FALSE,1.10E+18,2/13/2019 2:15,en,b'RT @urbanarson: Ross Ulbricht got a double life sentence as a first time non-violent offender for building a website.\n\nEl Chapo gets a less\xe2\x80\xa6',FALSE
,,,,,,,,,,,,,,,,,
b'J R',b'stumblinginn',b'',20,124,0,4444,2764,FALSE,2208,0,FALSE,FALSE,1.10E+18,2/13/2019 2:15,en,b'RT @charliekirk11: Why don\xe2\x80\x99t we use the $14 BILLION we seized from El Chapo to fund the wall?\n\n\xf0\x9f\xa4\x94',FALSE
,,,,,,,,,,,,,,,,,
b'Thumper2',b'Thumpr1982',b'',9881,9822,10,55463,63064,FALSE,1274,0,FALSE,FALSE,1.10E+18,2/13/2019 2:15,en,"b""RT @TheDemCoalition: Don\xe2\x80\x99t retweet this evidence that @DonaldJTrumpJr is tied to El Chapo's Mexican drug cartel. It could make Don Jr angry\xe2\x80\xa6""",FALSE
,,,,,,,,,,,,,,,,,
b'Pastor Blandon Monte',b'PastorBlandonMo',b'Envigado - Antioquia',1411,1264,14,43818,135643,FALSE,612,0,FALSE,FALSE,1.10E+18,2/13/2019 2:15,es,"b'RT @charoguerra: Condena de cadena perpetua a ""El Chapo"" Guzm\xc3\xa1n es ejemplo para el mundo. Los narcotraficantes no merecen curules, impunida\xe2\x80\xa6'",FALSE
,,,,,,,,,,,,,,,,,
b'Marcell2',b'Marcell218',"b'Texas, USA'",373,268,0,9572,21623,FALSE,448,0,FALSE,FALSE,1.10E+18,2/13/2019 2:15,en,b'RT @SenTedCruz: Ted Cruz Offers An Idea About What The US Should Do With El Chapo\xe2\x80\x99s $14 Billion In Assets https://t.co/PpYPGdIehM via @dail\xe2\x80\xa6',FALSE
,,,,,,,,,,,,,,,,,
b'isaias romero vazque',b'iromerovazquez',b'',7,40,1,5430,6304,FALSE,4,0,FALSE,FALSE,1.10E+18,2/13/2019 2:15,es,"b'RT @RompevientoTV: Sentencian a ""El Chapo"" Guzm\xc3\xa1n a cadena perpetua en Estados Unidos \xf0\x9f\x91\xa8\xe2\x80\x8d\xe2\x9a\x96\xef\xb8\x8f\n\xf0\x9f\x93\xb0https://t.co/GwDZfGplr7 https://t.co/4BtFAzdaWr'",FALSE
,,,,,,,,,,,,,,,,,
b'mariana',b'marianaqmierd',b'',28,77,0,1727,2902,FALSE,4761,0,FALSE,FALSE,1.10E+18,2/13/2019 2:15,es,"b'RT @ElyangelicaNews: #ELVEREDICTO Despu\xc3\xa9s de la condena a Joaquin \xe2\x80\x9cEl Chapo\xe2\x80\x9d Guzm\xc3\xa1n, el representante de la DEA dice \xe2\x80\x9cno importa quien seas\xe2\x80\xa6'",FALSE
,,,,,,,,,,,,,,,,,
b'\xe2\x9a\x99\xef\xb8\x8f\xf0\x9f\x93\x88\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbb\xf0\x9f\x87\xba\xf0\x9f\x87\xb8\xf0\x9f\x8f\x88\xf0\x9f\x8f\x92\xe2\x9a\xbe\xef\xb8\x8f\xf0\x9f\xa4\xbc\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f',b'MCameratta',b'',409,353,12,22806,16694,FALSE,2208,0,FALSE,FALSE,1.10E+18,2/13/2019 2:15,en,b'RT @charliekirk11: Why don\xe2\x80\x99t we use the $14 BILLION we seized from El Chapo to fund the wall?\n\n\xf0\x9f\xa4\x94',FALSE
,,,,,,,,,,,,,,,,,
b'Debris Patriot',b'DebrisYT',b'',8,20,0,590,136,FALSE,1155,0,FALSE,FALSE,1.10E+18,2/13/2019 2:15,en,b'RT @tedcruz: Republican Sen. Ted Cruz of Texas floated the possibility Tuesday of using the seized assets of convicted drug cartel kingpin\xe2\x80\xa6',FALSE
,,,,,,,,,,,,,,,,,
b'\xc3\xab',b'_foreverebb',"b'Maryland, USA'",200,170,0,1019,17636,FALSE,873,0,FALSE,FALSE,1.10E+18,2/13/2019 2:15,en,b'RT @_pachecoJA: El Chapo on his way to prison for the 8482958279th time knowing he memorized every face in that court room\n https://t.co/cL\xe2\x80\xa6',FALSE
,,,,,,,,,,,,,,,,,
b'Dilcia Carta',b'dilcia_carta',"b'Tucson, AZ'",144,538,0,12690,40143,FALSE,23,0,FALSE,FALSE,1.10E+18,2/13/2019 2:15,es,b'RT @DolarToday: \xc2\xa1BIEN BELLO! El Chapo fue ayudado por el gobierno https://t.co/q1vdoyK8LF #12Feb',FALSE
,,,,,,,,,,,,,,,,,
b'BEV@VAUGHAN \xf0\x9f\x8c\xbb BE BEST',b'BEVVAUGHAN12',b'',13,169,0,1229,162,FALSE,1425,0,FALSE,FALSE,1.10E+18,2/13/2019 2:15,en,b'RT @SenTedCruz: It\xe2\x80\x99s time to pass my EL CHAPO Act. I urge my Senate colleagues to take swift action on this crucial legislation. #SecureThe\xe2\x80\xa6',FALSE
,,,,,,,,,,,,,,,,,
b'Nan Sea',b'nane0963',b'',198,285,0,2367,1064,FALSE,501,0,FALSE,FALSE,1.10E+18,2/13/2019 2:15,en,b'RT @RagingGayCons: Senator Ted Cruz is proposing a bill that would use the $14 billion in seized assets from El Chapo to pay for a border w\xe2\x80\xa6',FALSE
,,,,,,,,,,,,,,,,,
b'EL CEO',b'elceo__',b'',1617,38,16,252,4895,FALSE,0,0,FALSE,FALSE,1.10E+18,2/13/2019 2:15,es,"b'En la d\xc3\xa9cada de los ochenta, un joven Guzm\xc3\xa1n Loera fue bautizado como el Chapo por F\xc3\xa9lix Gallardo, quien lo introdu\xe2\x80\xa6 https://t.co/ErR6KZgDLL'",FALSE
,,,,,,,,,,,,,,,,,
b'Jorge Iraheta',b'TwoFewChainz',"b'San Isidro, El Salvador'",800,460,1,2828,20485,FALSE,34,0,FALSE,FALSE,1.10E+18,2/13/2019 2:15,en,b'RT @SoMexicans: Guards: are you breaking out again? \n\nEl Chapo: https://t.co/xf245ay035',FALSE
,,,,,,,,,,,,,,,,,
b'CateKA',b'keltcat',"b'Knoxville, TN'",5381,5390,57,2794,51388,FALSE,2208,0,FALSE,FALSE,1.10E+18,2/13/2019 2:15,en,b'RT @charliekirk11: Why don\xe2\x80\x99t we use the $14 BILLION we seized from El Chapo to fund the wall?\n\n\xf0\x9f\xa4\x94',FALSE
,,,,,,,,,,,,,,,,,
b'Patriot',b'Patriot01224735',"b'Florida, USA'",593,660,0,4781,15428,FALSE,2208,0,FALSE,FALSE,1.10E+18,2/13/2019 2:15,en,b'RT @charliekirk11: Why don\xe2\x80\x99t we use the $14 BILLION we seized from El Chapo to fund the wall?\n\n\xf0\x9f\xa4\x94',FALSE
,,,,,,,,,,,,,,,,,
b'Armando Colunga',b'Soloveno210',"b'San Antonio, TX'",62,26,2,971,1794,FALSE,49,0,FALSE,FALSE,1.10E+18,2/13/2019 2:15,en,b'RT @CB618444: How about using the drug $ seized from the illegal kingpin  #ElChapo? $14 BILLION ready to go! U cowards &amp; traitors won\xe2\x80\x99t fun\xe2\x80\xa6',FALSE
,,,,,,,,,,,,,,,,,
b'pete2823  \xf0\x9f\x8c\x8a\xf0\x9f\x8c\x8a\xf0\x9f\x8c\x8a',b'pete28231',"b'Texas, USA'",3058,3433,1,32844,16999,FALSE,1274,0,FALSE,FALSE,1.10E+18,2/13/2019 2:15,en,"b""RT @TheDemCoalition: Don\xe2\x80\x99t retweet this evidence that @DonaldJTrumpJr is tied to El Chapo's Mexican drug cartel. It could make Don Jr angry\xe2\x80\xa6""",FALSE
,,,,,,,,,,,,,,,,,
b'tony vargas',b'tony_theplug',"b'Calistoga, CA'",55,116,0,1466,576,FALSE,34,0,FALSE,FALSE,1.10E+18,2/13/2019 2:15,en,b'RT @SoMexicans: Guards: are you breaking out again? \n\nEl Chapo: https://t.co/xf245ay035',FALSE
,,,,,,,,,,,,,,,,,
b'rodrigo fonseca',b'rodrigofongon',b'',47,776,0,1298,1185,FALSE,325,0,FALSE,FALSE,1.10E+18,2/13/2019 2:15,es,b'RT @callodehacha: La buena noticia: el Chapo no podr\xc3\xa1 competir para senador por MORENA.',FALSE
,,,,,,,,,,,,,,,,,
b'\xe2\xad\x90\xef\xb8\x8f\xe2\xad\x90\xef\xb8\x8f\xe2\xad\x90\xef\xb8\x8fWen Loe',b'wen_loe',b'',425,369,2,19121,8099,FALSE,901,0,FALSE,FALSE,1.10E+18,2/13/2019 2:15,en,b'RT @SenTedCruz: Last week I reintroduced the EL CHAPO Act which would reserve any amounts forfeited to the US gov as a result of criminal p\xe2\x80\xa6',FALSE
,,,,,,,,,,,,,,,,,
b'Nicola Henry-Taylor',b'EsqNicola',"b'Pittsburgh, PA'",1916,4980,39,5399,4620,FALSE,816,0,FALSE,FALSE,1.10E+18,2/13/2019 2:15,es,"b'RT @TwitterMoments: Mexican cartel leader Joaqu\xc3\xadn ""El Chapo"" Guzm\xc3\xa1n has been found guilty in the US trial. https://t.co/mJwITaJEXK'",FALSE
,,,,,,,,,,,,,,,,,
b'Brady OYong',b'oyongbrady',b'NY',189,159,0,3502,2218,FALSE,1151,0,FALSE,FALSE,1.10E+18,2/13/2019 2:15,en,"b'RT @thehill: Ted Cruz calls on Senate to pass bill to make ""El Chapo"" pay for border wall https://t.co/xl7q7Jlr0n https://t.co/wHmcmKPV8x'",FALSE
,,,,,,,,,,,,,,,,,
b'Melinda Glenn',b'GlennMkglenn1',b'Kansas',200,199,1,36595,2500,FALSE,2208,0,FALSE,FALSE,1.10E+18,2/13/2019 2:15,en,b'RT @charliekirk11: Why don\xe2\x80\x99t we use the $14 BILLION we seized from El Chapo to fund the wall?\n\n\xf0\x9f\xa4\x94',FALSE
,,,,,,,,,,,,,,,,,
b'Willie',b'WillieEggimann',"b'Forney, TX'",242,795,10,23444,13761,FALSE,2208,0,FALSE,FALSE,1.10E+18,2/13/2019 2:15,en,b'RT @charliekirk11: Why don\xe2\x80\x99t we use the $14 BILLION we seized from El Chapo to fund the wall?\n\n\xf0\x9f\xa4\x94',FALSE
,,,,,,,,,,,,,,,,,
b'Nacho Amestoy',b'Nachoamestoy_',b'Tandil',468,444,1,1139,15633,FALSE,0,0,FALSE,FALSE,1.10E+18,2/13/2019 2:15,es,b'Vuelve el chapo? https://t.co/O4WZHfONu0',FALSE
,,,,,,,,,,,,,,,,,
